MC_AirCan:0.18450192006431562, MC_AirTop:0.0, MC_AirOut:-0.0294400000107288, 
MC_AirCan:0.18447309006987647, MC_AirTop:-0.0037417719061618756, MC_AirOut:-0.02947101239473952, 
MC_AirCan:0.18444494905971046, MC_AirTop:-0.005968177655177962, MC_AirOut:-0.02950126445589332, 
MC_AirCan:0.18441721589052562, MC_AirTop:-0.0072944140556464, MC_AirOut:-0.029531059557283044, 
MC_AirCan:0.18438972344390442, MC_AirTop:-0.008085924329787244, MC_AirOut:-0.029560577905738565, 
MC_AirCan:0.18436237238453088, MC_AirTop:-0.008559791445005394, MC_AirOut:-0.02958992654998024, 
MC_AirCan:0.18433510366934064, MC_AirTop:-0.008844968442213113, MC_AirOut:-0.029619169080858147, 
MC_AirCan:0.18430788220544655, MC_AirTop:-0.009018056848413085, MC_AirOut:-0.029648343274087403, 
MC_AirCan:0.18428068713597032, MC_AirTop:-0.00912456000276542, MC_AirOut:-0.029677471570503995, 
MC_AirCan:0.18425350606584276, MC_AirTop:-0.009191508095998236, MC_AirOut:-0.029706567301616537, 
MC_AirCan:0.18422633162961916, MC_AirTop:-0.009234957778686211, MC_AirOut:-0.02973563838775018, 
MC_AirCan:0.18419915945140838, MC_AirTop:-0.009264447127488902, MC_AirOut:-0.029764689534842813, 
MC_AirCan:0.18417198693227463, MC_AirTop:-0.009285642013260596, MC_AirOut:-0.02979372353940063, 
MC_AirCan:0.18414481252948234, MC_AirTop:-0.009301908113900234, MC_AirOut:-0.029822742063676553, 
MC_AirCan:0.18411763532808909, MC_AirTop:-0.009315244731680642, MC_AirOut:-0.029851746096146936, 
MC_AirCan:0.1840904547863062, MC_AirTop:-0.009326839505510783, MC_AirOut:-0.029880736225046986, 
MC_AirCan:0.18406327058414446, MC_AirTop:-0.009337397924732843, MC_AirOut:-0.029909712800858135, 
MC_AirCan:0.18403608253345152, MC_AirTop:-0.009347339069057763, MC_AirOut:-0.029938676032829847, 
MC_AirCan:0.18400889052443953, MC_AirTop:-0.009356911883278784, MC_AirOut:-0.029967626046316156, 
MC_AirCan:0.1839816944939017, MC_AirTop:-0.009366264247535406, MC_AirOut:-0.029996562916835123, 
MC_AirCan:0.1839544944063209, MC_AirTop:-0.009375484006882165, MC_AirOut:-0.030025486690301025, 
MC_AirCan:0.1839272902426407, MC_AirTop:-0.00938462334394082, MC_AirOut:-0.030054397395042853, 
MC_AirCan:0.18390008199359137, MC_AirTop:-0.009393713256902157, MC_AirOut:-0.030083295048943585, 
MC_AirCan:0.18387286965572264, MC_AirTop:-0.009402772159843134, MC_AirOut:-0.030112179663681137, 
MC_AirCan:0.18384565322904567, MC_AirTop:-0.009411810991543326, MC_AirOut:-0.030141051247247582, 
MC_AirCan:0.18381843271563172, MC_AirTop:-0.00942083625025746, MC_AirOut:-0.030169909805445635, 
MC_AirCan:0.18379120811877894, MC_AirTop:-0.009429851796450736, MC_AirOut:-0.030198755342777623, 
MC_AirCan:0.1837639794425173, MC_AirTop:-0.009438859923671473, MC_AirOut:-0.030227587862973537, 
MC_AirCan:0.18373674669131415, MC_AirTop:-0.009447861994677835, MC_AirOut:-0.03025640736930471, 
MC_AirCan:0.18370950986989948, MC_AirTop:-0.009456858819313988, MC_AirOut:-0.030285213864770177, 
